Name,Class
test_0.jpg,0
test_1.jpg,0
test_10.jpg,1
test_100.jpg,6
test_101.jpg,7
test_102.jpg,6
test_103.jpg,6
test_104.jpg,6
test_105.jpg,2
test_106.jpg,6
test_107.jpg,6
test_108.jpg,9
test_109.jpg,6
test_11.jpg,1
test_110.jpg,6
test_111.jpg,6
test_112.jpg,6
test_113.jpg,6
test_114.jpg,6
test_115.jpg,6
test_116.jpg,6
test_117.jpg,6
test_118.jpg,6
test_119.jpg,6
test_12.jpg,1
test_120.jpg,6
test_121.jpg,6
test_122.jpg,2
test_123.jpg,6
test_124.jpg,6
test_125.jpg,6
test_126.jpg,2
test_127.jpg,2
test_128.jpg,6
test_129.jpg,6
test_13.jpg,1
test_130.jpg,7
test_131.jpg,7
test_132.jpg,7
test_133.jpg,7
test_134.jpg,2
test_135.jpg,2
test_136.jpg,7
test_137.jpg,7
test_138.jpg,7
test_139.jpg,7
test_14.jpg,1
test_140.jpg,7
test_141.jpg,4
test_142.jpg,7
test_143.jpg,0
test_144.jpg,6
test_145.jpg,2
test_146.jpg,8
test_147.jpg,8
test_148.jpg,8
test_149.jpg,8
test_15.jpg,1
test_150.jpg,8
test_151.jpg,8
test_152.jpg,8
test_153.jpg,8
test_154.jpg,2
test_155.jpg,8
test_156.jpg,2
test_157.jpg,8
test_158.jpg,2
test_159.jpg,9
test_16.jpg,1
test_160.jpg,9
test_161.jpg,9
test_162.jpg,2
test_163.jpg,9
test_164.jpg,1
test_165.jpg,9
test_166.jpg,9
test_167.jpg,9
test_168.jpg,9
test_169.jpg,9
test_17.jpg,1
test_170.jpg,9
test_171.jpg,9
test_172.jpg,9
test_173.jpg,9
test_174.jpg,2
test_175.jpg,9
test_176.jpg,9
test_177.jpg,9
test_178.jpg,9
test_179.jpg,9
test_18.jpg,2
test_180.jpg,9
test_181.jpg,9
test_182.jpg,9
test_183.jpg,9
test_184.jpg,2
test_185.jpg,1
test_186.jpg,9
test_19.jpg,1
test_2.jpg,0
test_20.jpg,1
test_21.jpg,1
test_22.jpg,6
test_23.jpg,1
test_24.jpg,0
test_25.jpg,1
test_26.jpg,1
test_27.jpg,1
test_28.jpg,1
test_29.jpg,1
test_3.jpg,0
test_30.jpg,1
test_31.jpg,1
test_32.jpg,1
test_33.jpg,1
test_34.jpg,1
test_35.jpg,1
test_36.jpg,1
test_37.jpg,1
test_38.jpg,1
test_39.jpg,2
test_4.jpg,0
test_40.jpg,2
test_41.jpg,2
test_42.jpg,2
test_43.jpg,1
test_44.jpg,2
test_45.jpg,2
test_46.jpg,9
test_47.jpg,2
test_48.jpg,2
test_49.jpg,2
test_5.jpg,0
test_50.jpg,2
test_51.jpg,2
test_52.jpg,2
test_53.jpg,1
test_54.jpg,2
test_55.jpg,2
test_56.jpg,9
test_57.jpg,2
test_58.jpg,2
test_59.jpg,2
test_6.jpg,3
test_60.jpg,2
test_61.jpg,9
test_62.jpg,2
test_63.jpg,2
test_64.jpg,6
test_65.jpg,2
test_66.jpg,2
test_67.jpg,2
test_68.jpg,2
test_69.jpg,3
test_7.jpg,0
test_70.jpg,1
test_71.jpg,3
test_72.jpg,3
test_73.jpg,3
test_74.jpg,1
test_75.jpg,3
test_76.jpg,3
test_77.jpg,3
test_78.jpg,0
test_79.jpg,1
test_8.jpg,8
test_80.jpg,8
test_81.jpg,4
test_82.jpg,6
test_83.jpg,8
test_84.jpg,6
test_85.jpg,7
test_86.jpg,8
test_87.jpg,2
test_88.jpg,2
test_89.jpg,8
test_9.jpg,0
test_90.jpg,4
test_91.jpg,4
test_92.jpg,8
test_93.jpg,8
test_94.jpg,5
test_95.jpg,8
test_96.jpg,4
test_97.jpg,7
test_98.jpg,2
test_99.jpg,2
